Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
[No author name available],[No author name available],"Retraction: Officer characteristics and racial disparities in fatal officer-involved shootings (Proceedings of the National Academy of Sciences of the United States of America (2019) 116 (15877–15882) DOI: 10.1073/pnas.1903856116)",2020,"Proceedings of the National Academy of Sciences of the United States of America",117,"30",,18130,,,,10.1073/pnas.2014148117,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85088880964&partnerID=40&md5=4f48e1d45c53494d17d58951105e9a79",Erratum,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-85088880964
[No author name available],[No author name available],"Corrigendum: In an Absolute State: Elevated Use of Absolutist Words Is a Marker Specific to Anxiety, Depression, and Suicidal Ideation (Clinical Psychological Science, (2018), 6, 4, (529-542), 10.1177/2167702617747074)",2019,"Clinical Psychological Science",7,"3",,636,637,,2,10.1177/2167702619843297,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85064568280&partnerID=40&md5=b7cfe3ab8f15b7ab965545e33df6dac9",Erratum,Final,"All Open Access, Bronze",Scopus,2-s2.0-85064568280
[No author name available],[No author name available],"Erratum to: Who Believes the Hype? An Experimental Examination of How Language Affects Investor Judgments (Journal of Accounting Research, (2011), 49, 1, (223-255), 10.1111/j.1475-679X.2010.00394.x)",2019,"Journal of Accounting Research",57,"1",,291,,,,10.1111/1475-679X.12250,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85060961701&partnerID=40&md5=9f01bc9f9caa21e5206c72578d83c169",Erratum,Final,"All Open Access, Bronze",Scopus,2-s2.0-85060961701
[No author name available],[No author name available],"Key principles underlying statistical inference: Probability and the normal distribution",2011,"Munro's Statistical Methods for Health Care Research: Sixth Edition",,"",,61,75,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84969917133&partnerID=40&md5=4c2c130ff864dc8120b0dccab819facb",Book Chapter,Final,"",Scopus,2-s2.0-84969917133
"Zunino, A., Mosegaard, K., Lange, K., Melnikova, Y., Hansen, T.M.","25932487300; 55879596700; 55362725900; 6603243576; 35402645500","Monte Carlo reservoir analysis combining seismic reflection data and informed priors",2014,"Geophysics",80,"1",,R31,R41,,31,10.1190/GEO2014-0052.1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84923613267&partnerID=40&md5=475f00e81f20f7e1e2524e1de9627a13",Article,Final,"All Open Access, Green",Scopus,2-s2.0-84923613267
"Zumer, J.M., Attias, H.T., Sekihara, K., Nagarajan, S.S.","10046318500; 56122759100; 57201282215; 7102013103","A probabilistic algorithm integrating source localization and noise suppression for MEG and EEG data",2007,"NeuroImage",37,"1",,102,115,,53,10.1016/j.neuroimage.2007.04.054,"https://www.scopus.com/inward/record.url?eid=2-s2.0-34447576745&partnerID=40&md5=f529e47adadd7addff63fbe7f763c214",Article,Final,"",Scopus,2-s2.0-34447576745
"Zumbo, B.D.","7004143671","Randomization test for coupled data",1996,"Perception &amp; Psychophysics",58,"3",,471,478,,6,10.3758/BF03206822,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0030115388&partnerID=40&md5=9acdc2712d7cf0bfcb4965b7e49f29c2",Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-0030115388
"Zumbach, G.","56123104200","The statistical properties of the innovations in multivariate ARCH processes in high dimensions",2013,"Quantitative Finance",13,"1",,29,44,,3,10.1080/14697688.2011.589399,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84871305307&partnerID=40&md5=4b60a1de6e69c9119f8fd060c20faec1",Article,Final,"",Scopus,2-s2.0-84871305307
"Zuanazzi, A., Noppeney, U.","56826164300; 6603954675","Distinct neural mechanisms of spatial attention and expectation guide perceptual inference in a multisensory world",2019,"Journal of Neuroscience",39,"12",,2301,2312,,8,10.1523/JNEUROSCI.2873-18.2019,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85063617677&partnerID=40&md5=c83f82f275045492ebebe031b614b212",Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-85063617677
"Zou, T., Lan, W., Li, R., Tsai, C.-L.","57202433982; 49961705000; 7404723813; 7404968188","Inference on covariance-mean regression",2021,"Journal of Econometrics",,"",,,,,,10.1016/j.jeconom.2021.05.004,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85107667031&partnerID=40&md5=840c41d1f23252911dbaec050ee06773",Article,Article in Press,"",Scopus,2-s2.0-85107667031
"Zou, L., Wang, L., Xia, L., Lin, A., Hu, B., Zhu, H.","57218934933; 55357667300; 57193108875; 14063724200; 37013451200; 56879576000","Prediction and comparison of solar radiation using improved empirical models and Adaptive Neuro-Fuzzy Inference Systems",2017,"Renewable Energy",106,"",,343,353,,66,10.1016/j.renene.2017.01.042,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85010904153&partnerID=40&md5=4951a3e4cbdfe7e08cdc537aeaa1c234",Article,Final,"",Scopus,2-s2.0-85010904153
"Zong, Z.-Y., Yin, X.-Y., Li, K.","55163774400; 7401674532; 57190048067","Joint AVO inversion in the time and frequency domain with Bayesian interference",2016,"Applied Geophysics",13,"4",,631,640,,7,10.1007/s11770-016-0584-7,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85013254132&partnerID=40&md5=b5a676a58d5fddb32e19791d9aa5b033",Article,Final,"",Scopus,2-s2.0-85013254132
"Zong, S., Zeng, X., Liu, T., Wan, F., Luo, P., Xiao, H.","57196087404; 57211844432; 57196096211; 57196095854; 56465413200; 57220103840","Erratum: Association of polymorphisms in heat shock protein 70 genes with the susceptibility to noise-induced hearing loss: A meta-analysis (PLoS ONE (2017) 12:11(e0188195) DOI: 10.1371/journal.pone.0188195)",2020,"PLoS ONE",15,"11 November", e0242647,,,,,10.1371/journal.pone.0242647,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85096942057&partnerID=40&md5=00c2df72d2fe693ef718f22dbb6158ca",Erratum,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85096942057
"Zöller, G., Holschneider, M., Hainzl, S.","56266347400; 34770152600; 55888520200","The maximum earthquake magnitude in a time horizon: Theory and case studies",2013,"Bulletin of the Seismological Society of America",103,"2 A",,860,875,,29,10.1785/0120120013,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84875473205&partnerID=40&md5=9e9ff88b6253652a2fd2a2fdd05ad5c5",Article,Final,"All Open Access, Green",Scopus,2-s2.0-84875473205
"Žitnik, S., Šubelj, L., Bajec, M.","55386991900; 36451276700; 6506526259","SkipCor: Skip-mention coreference resolution using linear-chain conditional random fields",2014,"PLoS ONE",9,"6", e100101,,,,9,10.1371/journal.pone.0100101,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84903520175&partnerID=40&md5=2b205a8cf67fd1d2d4143a1341859817",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-84903520175
"Zirkel-Hofer, A., Perry, S., Kramer, K., Heimsath, A., Scholl, S., Platzer, W.","57191596640; 57191593636; 36554469600; 54787719800; 18936897200; 7004549918","Confidence interval computation method for dynamic performance evaluations of solar thermal collectors",2018,"Solar Energy",162,"",,585,596,,4,10.1016/j.solener.2018.01.041,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85041395768&partnerID=40&md5=f07f81fd32440dc67c1daa71a4fe3b9e",Article,Final,"",Scopus,2-s2.0-85041395768
"Zinn, S., Gnambs, T.","35957648900; 36162832300","Modeling competence development in the presence of selection bias",2018,"Behavior Research Methods",50,"6",,2426,2441,,8,10.3758/s13428-018-1021-z,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85042067152&partnerID=40&md5=f0dda85db4828fc05f6dab0100805019",Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85042067152
"Zinn, A.R., Roeltgen, D., Stefanatos, G., Ramos, P., Elder, F.F., Kushner, H., Kowal, K., Ross, J.L.","7005214466; 7004028985; 6601982655; 7103233179; 7005099186; 7102179313; 8691575500; 7404966316","A turner syndrome neurocognitive phenotype maps to Xp22.3",2007,"Behavioral and Brain Functions",3,"", 24,,,,59,10.1186/1744-9081-3-24,"https://www.scopus.com/inward/record.url?eid=2-s2.0-34250652100&partnerID=40&md5=d45d06e2f85f220932667c39bf6f9c64",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-34250652100
"Zimon, D., Dellana, S.","56556951500; 6701842975","A longitudinal exploratory study of ISO 9001 certification abandonment in small- and medium-sized enterprises",2020,"International Journal of Quality and Reliability Management",37,"1",,53,67,,13,10.1108/IJQRM-10-2018-0284,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85074340158&partnerID=40&md5=c00e6681e2611238f758cd5a16e9c580",Article,Final,"",Scopus,2-s2.0-85074340158
"Ziegler, G., Penny, W.D., Ridgway, G.R., Ourselin, S., Friston, K.J.","35254725100; 7006713116; 15043112700; 6602233595; 36080215500","Estimating anatomical trajectories with Bayesian mixed-effects modeling",2015,"NeuroImage",121,"",,51,68,,17,10.1016/j.neuroimage.2015.06.094,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84938683218&partnerID=40&md5=252b0ba705a707c3f7994a5c01e7f7f3",Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-84938683218
"Ziaee, H., Hosseini, S.M., Sharafpoor, A., Fazavi, M., Ghiasi, M.M., Bahadori, A.","35244145200; 57206755175; 56469800300; 56178491300; 55387822000; 56613643000","Prediction of solubility of carbon dioxide in different polymers using support vector machine algorithm",2015,"Journal of the Taiwan Institute of Chemical Engineers",46,"",,205,213,,21,10.1016/j.jtice.2014.09.015,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84920461154&partnerID=40&md5=47452824df038c3e4550ea179cb4db07",Article,Final,"",Scopus,2-s2.0-84920461154
"Zhu, Y., Watts, D.G.","56172400700; 7201539562","Optimal designs for estimating dielectric constants of polymers",1988,"Polymer",29,"2",,325,328,,1,10.1016/0032-3861(88)90341-2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023963458&partnerID=40&md5=e68d0e083fb7ab9b3466449948520407",Article,Final,"",Scopus,2-s2.0-0023963458
"Zhu, W.","55503493300","Remote sensing statistical inference: basic theory and forward simulation of water–air statistical radiative transfer",2021,"Earth Science Informatics",14,"4",,2145,2159,,,10.1007/s12145-021-00661-y,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85113351231&partnerID=40&md5=74238e57c9e150224123a047041317d2",Article,Final,"",Scopus,2-s2.0-85113351231
"Zhu, Q., Zheng, Y., Li, G.","55874974000; 57188721280; 52563850500","Linear double autoregression",2018,"Journal of Econometrics",207,"1",,162,174,,6,10.1016/j.jeconom.2018.05.006,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85050876340&partnerID=40&md5=3203d82ce33b270f522cc441eac40add",Article,Final,"",Scopus,2-s2.0-85050876340
"Zhu, N., Zhang, N., Wang, B., Baležentis, T.","56535939000; 57188694290; 56001089300; 37062856100","What contributes to total factor productivity growth in the chinese banking sector?",2018,"Technological and Economic Development of Economy",24,"2",,792,811,,3,10.3846/tede.2018.249,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85044950416&partnerID=40&md5=d953b8d924fbd656d0f482588a5e0caa",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85044950416
"Zhu, M., Huang, Y.","57116890100; 57203489116","Trend-constrained corrected score for proportional hazards model with covariate measurement error",2015,"Contemporary Clinical Trials Communications",1,"",,5,16,,,10.1016/j.conctc.2015.08.001,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84958175462&partnerID=40&md5=cecd0d5c0f7baa3aab00cbb3450f0569",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-84958175462
"Zhu, L., Menzies, N.A., Wang, J., Linas, B.P., Goodreau, S.M., Salomon, J.A.","56102136800; 26027942300; 57204629465; 6506942815; 8207010100; 56745638600","Estimation and correction of bias in network simulations based on respondent-driven sampling data",2020,"Scientific Reports",10,"1", 6348,,,,2,10.1038/s41598-020-63269-0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85083545355&partnerID=40&md5=36aa53424d900d71a9d8990fdf089671",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85083545355
"Zhu, J., Chen, J., Hu, W., Zhang, B.","56734692500; 56123394400; 56549253400; 57199725787","Big Learning with Bayesian methods",2017,"National Science Review",4,"4",,627,651,,34,10.1093/nsr/nwx044,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85039040645&partnerID=40&md5=7024e8efc7ec0c7147e0dd9364eb222b",Review,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-85039040645
"Zhu, H.-M., Sun, X.-Z.","9037474800; 22936011700","Bayesian model for factor analysis using mixing prior distribution",2007,"Hunan Daxue Xuebao/Journal of Hunan University Natural Sciences",34,"9",,82,85,,1,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-35348941128&partnerID=40&md5=547a75b0b6fa938beec8444285796a16",Article,Final,"",Scopus,2-s2.0-35348941128
"Zhu, H., Versace, F., Cinciripini, P.M., Rausch, P., Morris, J.S.","56330169100; 21744174100; 7003557687; 56531709800; 7405897451","Robust and Gaussian spatial functional regression models for analysis of event-related potentials",2018,"NeuroImage",181,"",,501,512,,5,10.1016/j.neuroimage.2018.07.006,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85050232631&partnerID=40&md5=85a0aa3d89c4cdb2f0b9dd9f878d3118",Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-85050232631
"Zhu, H., Li, S., Fomel, S., Stadler, G., Ghattas, O.","55813344900; 55872209100; 6603684193; 22986807600; 6603703732","A Bayesian approach to estimate uncertainty for full-waveform inversion using a priori information from depth migration",2016,"Geophysics",81,"5",,R307,R323,,55,10.1190/GEO2015-0641.1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84984623467&partnerID=40&md5=ff215db209cb901b3171286a615abc35",Article,Final,"",Scopus,2-s2.0-84984623467
"Zhu, H., Zuo, Y., Li, X., Deng, J., Zhuang, X.","7404663867; 55624529500; 55936263300; 7402612836; 24485610900","Estimation of the fracture diameter distributions using the maximum entropy principle",2014,"International Journal of Rock Mechanics and Mining Sciences",72,"",,127,137,,20,10.1016/j.ijrmms.2014.09.006,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84908394304&partnerID=40&md5=9acf638ca5a1236aa6abf9e635982c4a",Article,Final,"",Scopus,2-s2.0-84908394304
"Zhou, Y., Wang, H., Lü, W.","57191655089; 57202272497; 55484365300","Statistical Inference of Reliability with Multivariate Accelerated Degradation Data",2020,"Journal of Shanghai Jiaotong University (Science)",25,"2",,237,245,,,10.1007/s12204-019-2124-0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85073943348&partnerID=40&md5=d5e739d250ace342027c5e941beb12ab",Article,Final,"",Scopus,2-s2.0-85073943348
"Zhou, Y., Cheng, J.","57219136661; 26643191200","Measurement error model for microarray data analysis",2005,"Progress in Natural Science",15,"7",,614,620,,,10.1080/10020070512331342640,"https://www.scopus.com/inward/record.url?eid=2-s2.0-22844439204&partnerID=40&md5=8640e21bfe4487f85db4ddf6bb0f4fb1",Article,Final,"",Scopus,2-s2.0-22844439204
"Zhou, Q., Ruan, Z., Yuan, H., Jiang, B., Xu, D.","25029638800; 7006548606; 7402446859; 56803068700; 15520318700","RP-HPLC analysis of flucloxacillin in human plasma: Validation and application to a bioequivalence study",2007,"Pharmazie",62,"2",,101,104,,10,10.1691/ph.2007.2.6103,"https://www.scopus.com/inward/record.url?eid=2-s2.0-33847125791&partnerID=40&md5=78645cb23db3f16bb6c6d109b3238739",Article,Final,"",Scopus,2-s2.0-33847125791
"Zhou, P., Ang, B.W., Han, J.Y.","37006075700; 7007186262; 56170993200","Total factor carbon emission performance: A Malmquist index analysis",2010,"Energy Economics",32,"1",,194,201,,426,10.1016/j.eneco.2009.10.003,"https://www.scopus.com/inward/record.url?eid=2-s2.0-72249100858&partnerID=40&md5=8a24e121ffc22cb552cae8f1d79780b7",Article,Final,"",Scopus,2-s2.0-72249100858
"Zhou, L., Qiu, Z., Tang, L., Kan, B.","26423382200; 7202941503; 47062062300; 16063888900","Systematic examination of 'precursor waves' of strong earthquakes by using the wavelet method",2009,"Earthquake Science",22,"1",,83,91,,,10.1007/s11589-009-0083-5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-63049100823&partnerID=40&md5=743d5b3dc554b4dc94b71cfef6635f5b",Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-63049100823
"Zhou, K., Ganju, J.","55912161700; 6602672167","Inference from blinded data in randomized clinical trials",2013,"Clinical Trials",10,"5",,744,753,,1,10.1177/1740774513499650,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84886903343&partnerID=40&md5=e22de3d45e75a5e28a06a2f66898c227",Conference Paper,Final,"",Scopus,2-s2.0-84886903343
"Zhou, H.-B.","55716775100","Risk assessment of deep foundation pit by using fuzzy comprehensive evaluation method based on bayesian networks",2009,"Shanghai Jiaotong Daxue Xuebao/Journal of Shanghai Jiaotong University",43,"9",,1473,1479,,14,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-70350578729&partnerID=40&md5=ce69fd631ffc720b277af39e5382a059",Article,Final,"",Scopus,2-s2.0-70350578729
"Zhou, G.","35319117000","Small sample tests of portfolio efficiency",1991,"Journal of Financial Economics",30,"1",,165,191,,30,10.1016/0304-405X(91)90041-H,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0009983623&partnerID=40&md5=d274bf00df5d6abd120962d462a656b0",Article,Final,"",Scopus,2-s2.0-0009983623
"Zhou, D., Zhang, Y., Xiao, Y., Cai, D.","35093612100; 55822091400; 55821466800; 57205297115","Analysis of sampling artifacts on the granger causality analysis for topology extraction of neuronal dynamics",2014,"Frontiers in Computational Neuroscience",8,"JUL", 75,,,,9,10.3389/fncom.2014.00075,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84905177837&partnerID=40&md5=efd6bc4d9a3822bf456e0af163016485",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-84905177837
"Zheng, Y., Wu, R.-S.","12763775300; 7402944594","Measurement of phase fluctuations for transmitted waves in random media",2005,"Geophysical Research Letters",32,"14",,1,3,,7,10.1029/2005GL023179,"https://www.scopus.com/inward/record.url?eid=2-s2.0-25444454384&partnerID=40&md5=986b96e6a41bdb64be14f6d8ba016588",Article,Final,"",Scopus,2-s2.0-25444454384
"Zheng, X., Huang, B.","56378156100; 55428145700","Statistical inference for restricted partially linear varying coefficient models with error-prone covariates",2014,"Beijing Huagong Daxue Xuebao (Ziran Kexueban)/Journal of Beijing University of Chemical Technology (Natural Science Edition)",41,"5",,119,123,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84907730461&partnerID=40&md5=413ab5014c319bb9dc6241f0daea3789",Article,Final,"",Scopus,2-s2.0-84907730461
"Zheng, W., Li, S., Jiang, D.","57195418863; 15839985100; 55805508500","Mixture of D-vine copulas model and its application in fault detection",2017,"Huagong Xuebao/CIESC Journal",68,"7",,2851,2858,,1,10.11949/j.issn.0438-1157.20161682,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85092426329&partnerID=40&md5=a9a1546d408de9f6addae3f283fc4830",Article,Final,"",Scopus,2-s2.0-85092426329
"Zheng, K., Hu, J., Peng, Y.-H., Zhan, Z.-F., Qi, J.","55342091900; 16942417000; 55754470800; 24337106100; 35324988100","A Bayesian inference method for model extrapolation together with qualitative knowledge",2012,"Shanghai Jiaotong Daxue Xuebao/Journal of Shanghai Jiaotong University",46,"6",,994,998,,3,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84865283910&partnerID=40&md5=61a5c957ac3833df4af4308febb7e410",Article,Final,"",Scopus,2-s2.0-84865283910
"Zheng, J., Li, Y., Wang, J., Shiju, E., Li, X.","55751138400; 24341174200; 55878871000; 6603056648; 35201344900","Accelerated thermal aging of grease-based magnetorheological fluids and their lifetime prediction",2018,"Materials Research Express",5,"8", 085702,,,,7,10.1088/2053-1591/aad31a,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85050967853&partnerID=40&md5=871c28480bbf7984f70416b891586921",Article,Final,"",Scopus,2-s2.0-85050967853
"Zheng, B., Cushing, B.J.","7201781524; 7006279867","Statistical inference for testing inequality indices with dependent samples",2001,"Journal of Econometrics",101,"2",,315,335,,19,10.1016/S0304-4076(00)00087-7,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0041798034&partnerID=40&md5=0b626417aa717e7fdfae0fc3195b8d92",Article,Final,"",Scopus,2-s2.0-0041798034
"Zheng, B.","7201781524","Statistical inference for poverty measures with relative poverty lines",2001,"Journal of Econometrics",101,"2",,337,356,,46,10.1016/S0304-4076(00)00088-9,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0013118696&partnerID=40&md5=2d54d7e6f1fea406f0d86d9b388473e5",Article,Final,"",Scopus,2-s2.0-0013118696
"Zheng, B.","7201781524","Statistical inferences for testing marginal rank and (generalized) Lorenz dominances",1999,"Southern Economic Journal",65,"3",,557,570,,6,10.2307/1060815,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0038853462&partnerID=40&md5=ea061b5786598cb1f9a9f50a4a51c09a",Article,Final,"",Scopus,2-s2.0-0038853462
"Zhao, Z.-Y., Liu, D.-J., Jiang, H., Liu, Z.-B., Shen, H.-H.","55726130200; 55777873500; 55179015600; 24343955600; 55179324000","Application of performance monitoring indices in predicting development indices of block",2009,"Xinan Shiyou Daxue Xuebao/Journal of Southwest Petroleum University",31,"1",,116,120,,1,10.3863/j.issn.1674-5086.2009.01.028,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84859548203&partnerID=40&md5=4406f5ac95e3f839858a8921b8119459",Article,Final,"",Scopus,2-s2.0-84859548203
"Zhao, Z., Sen, M.K.","57190518536; 56603352400","A gradient-based Markov chain Monte Carlo method for full-waveform inversion and uncertainty analysis",2021,"Geophysics",86,"1",,R15,R30,,2,10.1190/geo2019-0585.1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85105106542&partnerID=40&md5=af67d3d54b269508440dd84bf73d4d8c",Article,Final,"",Scopus,2-s2.0-85105106542
"Zhao, Z., Koutsopoulos, H.N., Zhao, J.","55810497200; 35612535300; 54793824500","Uncovering spatiotemporal structures from transit smart card data for individual mobility modeling",2019,"Demand for Emerging Transportation Systems: Modeling Adoption, Satisfaction, and Mobility Patterns",,"",,123,149,,2,10.1016/B978-0-12-815018-4.00007-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85089703619&partnerID=40&md5=1130751ca32275b12ad397aaf4cfe32b",Book Chapter,Final,"",Scopus,2-s2.0-85089703619
"Zhao, Y.-Q., Laber, E.B.","55499191800; 36679147300","Estimation of optimal dynamic treatment regimes",2014,"Clinical Trials",11,"4",,400,407,,10,10.1177/1740774514532570,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84906083513&partnerID=40&md5=a8fa9d95e582a0e1e1f558f2c08bbfed",Conference Paper,Final,"All Open Access, Green",Scopus,2-s2.0-84906083513
"Zhao, Y., Chang, C., Hannum, M., Lee, J., Shen, R.","57254286400; 57201943407; 57211535152; 57219979877; 8636749400","Bayesian network-driven clustering analysis with feature selection for high-dimensional multi-modal molecular data",2021,"Scientific Reports",11,"1", 5146,,,,2,10.1038/s41598-021-84514-0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102085449&partnerID=40&md5=05320eaa83744c83d0d39c12ca34c536",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85102085449
"Zhao, X., Curtis, A., Zhang, X.","57230639600; 57069578900; 57221179618","Bayesian seismic tomography using normalizing flows",2022,"Geophysical Journal International",228,"1",,213,239,,1,10.1093/gji/ggab298,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85113204728&partnerID=40&md5=6987687a874f3346f3a6ced7e63d42fd",Article,Final,"All Open Access, Green",Scopus,2-s2.0-85113204728
"Zhao, X., Mou, M.","55705060000; 57221663192","Batch Process Monitoring with Dynamic-Static Joint Indicator Based on GSFA-GNPE | 基于GSFA-GNPE的动态-静态联合指标间歇过程监控",2021,"Shanghai Jiaotong Daxue Xuebao/Journal of Shanghai Jiaotong University",55,"11",,1417,1428,,,10.16183/j.cnki.jsjtu.2020.290,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85120717880&partnerID=40&md5=7202ebab614fe96178486b32130a18f3",Article,Final,"",Scopus,2-s2.0-85120717880
"Zhao, X., Fan, K., Shi, X., Liu, K.","57207136397; 57218762361; 57208385618; 57190565952","Virtual fit evaluation of pants using the Adaptive Network Fuzzy Inference System",2021,"Textile Research Journal",,"",,,,,,10.1177/00405175211020515,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85107126996&partnerID=40&md5=d56e2c76473bb6f2f1fa944b6608aaa0",Article,Article in Press,"",Scopus,2-s2.0-85107126996
"Zhao, T., Xu, L., Wang, Y.","56824867000; 55732589900; 55992343300","Fast non-parametric simulation of 2D multi-layer cone penetration test (CPT) data without pre-stratification using Markov Chain Monte Carlo simulation",2020,"Engineering Geology",273,"", 105670,,,,13,10.1016/j.enggeo.2020.105670,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85084849403&partnerID=40&md5=89e63e8d86df1e4c1149e09afdf6e738",Article,Final,"",Scopus,2-s2.0-85084849403
"Zhao, Q., Zhang, H., Wang, G., Li, Y.","35099916000; 57194698796; 56203701400; 56274758200","Irregular tessellation and statistical modeling based regionalized segmentation for SAR intensity image",2020,"Remote Sensing",12,"5", 753,,,,,10.3390/rs12050753,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85081905063&partnerID=40&md5=7bdddb35f84640662cc724f8082fc4ba",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85081905063
"Zhao, N., Lu, N., Chen, C., Li, H., Yue, T., Zhang, L., Liu, Y.","56432023200; 36537617200; 26324758600; 57196362078; 7101867316; 57194575827; 56448294200","Mapping temperature using a Bayesian statistical method and a high accuracy surface modelling method in the Beijing–Tianjin–Hebei region, China",2017,"Meteorological Applications",24,"4",,571,579,,8,10.1002/met.1657,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85021769782&partnerID=40&md5=c066b3a5c3d28222b93200a14ff4460c",Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85021769782
"Zhao, M.-Y., Huo, Q.-B., Du, Y.-Z.","57200500232; 57199211259; 16315562800","Molecular phylogeny inferred from the mitochondrial genomes of Plecoptera with Oyamia nigribasis (Plecoptera: Perlidae)",2020,"Scientific Reports",10,"1", 20955,,,,2,10.1038/s41598-020-78082-y,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85096995463&partnerID=40&md5=f30c33f3cabdba15f342b95986c68ecb",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85096995463
"Zhao, J., Zhao, Y., Khanal, V., Lee, A.H., Binns, C.W.","57188570421; 55726054600; 55151541100; 56422852900; 55810755100","Application of a Frailty Modeling Approach to Correlated Breastfeeding Duration Data",2018,"Nursing Research",67,"6",,485,489,,,10.1097/NNR.0000000000000311,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85055915603&partnerID=40&md5=e684851e0a052359a0e2db1e84567fa9",Article,Final,"",Scopus,2-s2.0-85055915603
"Zhao, J., Li, S., Wang, L., Jiang, L., Yang, R., Cui, Y.","57193732612; 57193731034; 55721288600; 36076838300; 55912158300; 8636251200","Genome-wide random regression analysis for parent-of-origin effects of body composition allometries in mouse",2017,"Scientific Reports",7,"", 45191,,,,4,10.1038/srep45191,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85016149128&partnerID=40&md5=640af8c043c8da6afb9c711096fb0dc5",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85016149128
